3,1Time Airline,1T,South Africa
10,40-Mile Air,Q5,United States
13,Ansett Australia,AN,Australia
14,Abacus International,1B,Singapore
21,Aigle Azur,ZI,France
22,Aloha Airlines,AQ,United States
24,American Airlines,AA,United States
28,Asiana Airlines,OZ,Republic of Korea
29,Askari Aviation,4K,Pakistan
32,Afriqiyah Airways,8U,Libya
35,Allegiant Air,G4,United States
42,ABSA - Aerolinhas Brasileiras,M3,Brazil
55,Astral Aviation,8V,Kenya
68,Air Tindi,8T,Canadian Territories
72,Ada Air,ZY,Albania
83,Adria Airways,JP,Slovenia
90,Air Europa,UX,Spain
93,Aero Benin,EM,Benin
96,Aegean Airlines,A3,Greece
106,Air Europe,PE,Italy
109,Alaska Central Express,KO,United States
112,Astraeus,5W,United Kingdom
114,Aerosvit Airlines,VV,Ukraine
116,Air Italy,I9,Italy
120,Alliance Airlines,QQ,Australia
125,Ariana Afghan Airlines,FG,Afghanistan
130,Aeroflot Russian Airlines,SU,Russia
132,Air Bosna,JA,Bosnia and Herzegovina
137,Air France,AF,France
139,Air Caledonie International,SB,France
146,Air Salone,2O,Sierra Leone
149,Air Cargo Carriers,2Q,United States
153,Air Namibia,SW,Namibia
165,Aerolitoral,5D,Mexico
174,Air Glaciers,7T,Switzerland
179,Aeroper,PL,Peru
180,Atlas Blue,8A,Morocco
197,Azerbaijan Airlines,J2,Azerbaijan
198,Avies,U3,Estonia
208,Airblue,ED,Pakistan
214,Air Berlin,AB,Germany
218,Air India Limited,AI,India
220,Air Bourbon,ZB,Reunion
221,Air Atlanta Icelandic,CC,Iceland
225,Air Tahiti Nui,TN,France
231,Arkia Israel Airlines,IZ,Israel
239,Air Jamaica,JM,Jamaica
240,Air One,AP,Italy
241,Air Sahara,S2,India
242,Air Malta,KM,Malta
250,Air Japan,NQ,Japan
263,Air Kiribati,4A,Kiribati
281,America West Airlines,HP,United States
282,Air Wisconsin,ZW,United States
286,Tatarstan Airlines,U9,Russia
299,Air Libert,VD,France
306,Air Malawi,QM,Malawi
312,Air Sicilia,BM,Italy
316,Air Macau,NX,Macao
319,Air Seychelles,HM,Seychelles
321,AeroMéxico,AM,Mexico
324,All Nippon Airways,NH,Japan
327,Air Nostrum,YW,Spain
328,Air Niugini,PX,Papua New Guinea
329,Air Arabia,G9,United Arab Emirates
330,Air Canada,AC,Canada
333,Air Baltic,BT,Latvia
336,Air Nippon,EL,Japan
338,Airnorth,TL,Australia
341,Air North Charter - Canada,4N,Canada
345,Air New Zealand,NZ,New Zealand
371,Alitalia Express,XM,Italy
386,Aero Flight,GV,Germany
397,Arrow Air,JW,United States
410,Aerocondor,2B,Portugal
411,Aires,4C, S.A.
412,Aerolineas Argentinas,AR,Argentina
439,Alaska Airlines,AS,ALASKA
442,Air Sinai,4D,Egypt
452,Atlantic Southeast Airlines,EV,United States
462,Astrakhan Airlines,OB,Russia
465,Air Tanzania,TC,Tanzania
470,Air Burkina,2J,Burkina Faso
476,Airlines Of Tasmania,FO,Australia
477,Air Saint Pierre,PJ,France
491,Austrian Airlines,OS,Austria
493,Augsburg Airways,IQ,Germany
502,Abu Dhabi Amiri Flight,MO,United Arab Emirates
503,Aeroflot-Nord,5N,Russia
508,Aurigny Air Services,GR,United Kingdom
510,Austral Lineas Aereas,AU,Argentina
515,Avianca - Aerovias Nacionales de Colombia,AV,AVIANCA
524,Air Vanuatu,NF,Vanuatu
543,Air Bangladesh,B9,Bangladesh
547,Air Mediterranee,DR,France
563,Aeroline GmbH,7E,Germany
565,Air Wales,6G,United Kingdom
567,Air Caraïbes,TX,France
569,Air India Express,IX,India
575,Air Exel,XT,Netherlands
576,AirAsia,AK,Malaysia
595,Atlant-Soyuz Airlines,3G,Russia
596,Alitalia,AZ,Italy
603,Amaszonas,Z8,Bolivia
608,Air Zimbabwe,UM,Zimbabwe
622,Aserca Airlines,R7,Venezuela
641,Rossiya-Russian Airlines,FV,Russia
659,American Eagle Airlines,MQ,United States
682,Air Ivoire,VU,Ivory Coast
683,Air Botswana,BP,Botswana
690,Air Foyle,GS,United Kingdom
692,Air Tahiti,VT,French Polynesia
695,Air VIA,VL,Bulgaria
715,Africa West,FK,Togo
724,ATRAN Cargo Airlines,V8,Russian Federation
751,Air China,CA,China
753,Aero Condor Peru,Q6,Peru
787,Air Chathams,CV,New Zealand
788,Air Marshall Islands,CW,Marshall Islands
792,Access Air,ZA,United States
794,Air Algerie,AH,Algeria
800,Adam Air,KI,Indonesia
807,Air Dolomiti,EN,Italy
816,Aeroflot-Don,D9,Russia
817,Air Madrid,NM,Spain
837,Aer Lingus,EI,Ireland
876,Air Finland,OF,Finland
879,Air Pacific,FJ,Fiji
881,Atlantic Airways,RC,Faroe Islands
882,Air Florida,QH,United States
896,Air Iceland,NY,Iceland
897,Air Philippines,2P,Philippines
909,Air Guinee Express,2U,Guinea
921,Air Greenland,GL,Denmark
928,Atlas Air,5Y,United States
931,Air Guyane,GG,French Guiana
970,Air Bagan,W9,Myanmar
983,Air Canada Jazz,QK,Canada
995,Atlasjet,KK,Turkey
998,Air Koryo,JS,Democratic People's Republic of Korea
1006,Air Astana,KC,Kazakhstan
1008,Albanian Airlines,LV,Albania
1034,Aerolane,XL,Ecuador
1048,Atlantis European Airways,TD,Armenia
1052,Air Luxor,LK,Portugal
1057,Air Mauritius,MK,Mauritius
1066,Air Madagascar,MD,Madagascar
1073,Air Moldova,9U,Moldova
1087,Air Plus Comet,A7,Spain
1109,Astair,8D,Russian Federation
1116,Aero Contractors,AJ,Nigeria
1143,Aeropelican Air Services,OT,Australia
1188,Aer Arann,RE,Ireland
1191,Air Austral,UU,France
1200,Asian Spirit,6K,Philippines
1202,Air Afrique,RK,Ivory Coast
1203,Airlinair,A5,France
1206,Aero Lanka,QL,Sri Lanka
1216,Armavia,U8,Armenia
1224,AeroRep,P5,Colombia
1230,Aero-Service,BF,Republic of the Congo
1231,Aerosur,5L,Bolivia
1266,Avient Aviation,Z3,Zimbabwe
1287,Aircompany Yakutia,R3,Russia
1290,Aeromar,VW,Mexico
1299,Arkefly,OR,Netherlands
1308,Airlines PNG,CG,Papua New Guinea
1316,AirTran Airways,FL,United States
1317,Air Transat,TS,Canada
1322,Avialeasing Aviation Company,EC,Uzbekistan
1326,Tyrolean Airways,VO,Austria
1338,Aerolineas Galapagos (Aerogal),2K,Ecuador
1340,Alrosa Mirny Air Enterprise,6R,Russia
1355,British Airways,BA,United Kingdom
1359,Biman Bangladesh Airlines,BG,Bangladesh
1401,Belair Airlines,4T,Switzerland
1403,Bahamasair,UP,Bahamas
1406,Balkan Bulgarian Airlines,LZ,
1411,British International Helicopters,BS,United Kingdom
1422,Bangkok Airways,PG,Thailand
1427,Blue1,KF,Finland
1434,Bearskin Lake Air Service,JV,Canada
1436,Bellview Airlines,B3,Nigeria
1437,bmi,BD,United Kingdom
1441,bmibaby,WW,United Kingdom
1442,Bemidji Airlines,CH,United States
1463,Blue Panorama Airlines,BV,Italy
1472,Bering Air,8E,United States
1478,Belavia Belarusian Airlines,B2,Belarus
1500,Metro Batavia,7P,Indonesia
1508,Berjaya Air,J8,Malaysia
1510,Blue Wings,QW,Germany
1523,Brit Air,DB,France
1531,Brussels Airlines,SN,Belgium
1539,Binter Canarias,NT,Spain
1542,Blue Air,0B,Romania
1543,British Mediterranean Airways,KJ,United Kingdom
1548,Bulgaria Air,FB,Bulgaria
1550,Barents AirLink,8N,Sweden
1581,CAL Cargo Air Lines,5C,Israel
1607,Calima Aviacion,XG,Spain
1615,Canadian Airlines,CP,Canada
1623,Canadian North,5T,Canada
1629,Cape Air,9K,United States
1663,Caribbean Airlines,BW,Trinidad and Tobago
1669,Carpatair,V3,Romania
1675,Caspian Airlines,RV,Iran
1680,Cathay Pacific,CX,Hong Kong SAR of China
1682,Cayman Airways,KX,Cayman Islands
1683,Cebu Pacific,5J,Philippines
1708,Centralwings,C0,Poland
1739,Chautauqua Airlines,RP,United States
1756,China Airlines,CI,Taiwan
1758,China Eastern Airlines,MU,China
1767,China Southern Airlines,CZ,China
1769,China United Airlines,HR,China
1771,Yunnan Airlines,3Q,China
1781,Cimber Air,QI,Denmark
1784,Cirrus Airlines,C9,Germany
1789,City Airline,CF,Sweden
1790,City Connexion Airlines,G3,Burundi
1792,CityJet,WX,Ireland
1795,BA CityFlyer,CJ,United Kingdom
1814,Coastal Air,DQ,United States
1821,Colgan Air,9L,United States
1828,Comair,OH,United States
1829,Comair,MN,South Africa
1843,CommutAir,C5,United States
1844,Comores Airlines,KR,Comoros
1860,Compass Airlines,CP,United States
1868,Condor Flugdienst,DE,Germany
1876,Consorcio Aviaxsa,6A,Mexico
1879,Contact Air,C3,Germany
1881,Continental Airlines,CO,United States
1883,Continental Express,CO,United States
1884,Continental Micronesia,CS,United States
1886,Conviasa,V0,Venezuela
1889,Copa Airlines,CM,Panama
1908,Corsairfly,SS,France
1909,Corse-Mediterranee,XK,France
1925,Croatia Airlines,OU,Croatia
1936,Cubana de Aviación,CU,Cuba
1942,Cyprus Airways,CY,Cyprus
