:START_ID,:END_ID
airport_2965,airport_2990
airport_2966,airport_2990
airport_2966,airport_2962
airport_2968,airport_2990
airport_2968,airport_4078
airport_4029,airport_2990
airport_4029,airport_6969
airport_4029,airport_6160
airport_6156,airport_2952
airport_6156,airport_2990
airport_2922,airport_6969
airport_2952,airport_6156
airport_2990,airport_2965
airport_2990,airport_2966
airport_2990,airport_2968
airport_2990,airport_4029
airport_2990,airport_6156
airport_2990,airport_2948
airport_2990,airport_2975
airport_2948,airport_2990
airport_2948,airport_6969
airport_2948,airport_6160
airport_2962,airport_2966
airport_6969,airport_4029
airport_6969,airport_2922
airport_6969,airport_2948
airport_6969,airport_2975
airport_2972,airport_2975
airport_2972,airport_6160
airport_4364,airport_2975
airport_4078,airport_2968
airport_4078,airport_2975
airport_2975,airport_2990
airport_2975,airport_6969
airport_2975,airport_2972
airport_2975,airport_4364
airport_2975,airport_4078
airport_6160,airport_4029
airport_6160,airport_2948
airport_6160,airport_2972
airport_2936,airport_2937
airport_2936,airport_4078
airport_2935,airport_2937
airport_2937,airport_2936
airport_2937,airport_2935
airport_2937,airport_8944
airport_2937,airport_4078
airport_2937,airport_6924
airport_2937,airport_9026
airport_2937,airport_2923
airport_2925,airport_4078
airport_8944,airport_2937
airport_4078,airport_2936
airport_4078,airport_2937
airport_6924,airport_2937
airport_9026,airport_2937
airport_2923,airport_2937
airport_2786,airport_2789
airport_2812,airport_2789
airport_2812,airport_2808
airport_6067,airport_2789
airport_2801,airport_2781
airport_2801,airport_2806
airport_2789,airport_2786
airport_2789,airport_2812
airport_2789,airport_6067
airport_2789,airport_2781
airport_2789,airport_2806
airport_2781,airport_2801
airport_2781,airport_2789
airport_2781,airport_2806
airport_2808,airport_2812
airport_2806,airport_2801
airport_2806,airport_2789
airport_2806,airport_2781
airport_253,airport_247
airport_253,airport_246
airport_248,airport_246
airport_1044,airport_253
airport_1044,airport_1084
airport_1044,airport_246
airport_247,airport_253
airport_247,airport_246
airport_245,airport_298
airport_245,airport_246
airport_1084,airport_1044
airport_1084,airport_246
airport_298,airport_246
airport_280,airport_246
airport_246,airport_253
airport_246,airport_248
airport_246,airport_1044
airport_246,airport_247
airport_246,airport_245
airport_246,airport_1084
airport_246,airport_298
airport_246,airport_280
airport_2709,airport_2673
airport_2709,airport_2688
airport_2715,airport_2673
airport_2673,airport_2709
airport_2673,airport_2715
airport_2673,airport_6045
airport_2673,airport_2688
airport_2670,airport_2688
airport_6045,airport_2673
airport_2688,airport_2709
airport_2688,airport_2673
airport_2688,airport_2670
airport_1506,airport_1678
airport_1264,airport_1678
airport_490,airport_1678
airport_1665,airport_1054
airport_1197,airport_1678
airport_1054,airport_1678
airport_4197,airport_1678
airport_1056,airport_1665
airport_1678,airport_1506
airport_1678,airport_1264
airport_1678,airport_490
airport_1678,airport_1197
airport_1678,airport_1054
airport_1678,airport_4197
airport_730,airport_719
airport_737,airport_715
airport_737,airport_709
airport_737,airport_688
airport_737,airport_718
airport_737,airport_5595
airport_737,airport_719
airport_737,airport_442
airport_737,airport_722
airport_737,airport_448
airport_737,airport_664
airport_737,airport_746
airport_737,airport_729
airport_737,airport_711
airport_715,airport_737
airport_715,airport_718
airport_709,airport_737
airport_709,airport_688
airport_709,airport_711
airport_5599,airport_729
airport_688,airport_737
airport_688,airport_709
airport_435,airport_448
airport_718,airport_737
airport_718,airport_715
airport_5595,airport_737
airport_719,airport_730
airport_719,airport_737
airport_442,airport_737
airport_442,airport_460
airport_722,airport_737
airport_644,airport_711
airport_448,airport_737
airport_448,airport_435
airport_460,airport_442
airport_664,airport_737
airport_746,airport_737
airport_729,airport_737
airport_729,airport_5599
airport_711,airport_737
airport_711,airport_644
airport_3531,airport_7167
airport_3531,airport_7168
airport_3531,airport_7162
airport_3531,airport_7164
airport_3531,airport_7163
airport_7167,airport_7176
airport_7168,airport_7173
airport_7162,airport_7161
airport_7164,airport_7165
airport_7173,airport_7172
airport_6019,airport_2397
airport_4200,airport_2397
airport_2399,airport_2397
airport_2400,airport_2397
airport_6024,airport_2397
airport_2425,airport_2397
airport_8076,airport_2397
airport_2402,airport_2397
airport_2430,airport_2397
airport_4203,airport_2397
airport_2397,airport_6019
airport_2397,airport_4200
airport_2397,airport_2399
airport_2397,airport_2400
airport_2397,airport_6024
airport_2397,airport_2425
airport_2397,airport_8076
airport_2397,airport_2402
airport_2397,airport_2430
airport_2397,airport_4203
airport_2397,airport_2426
airport_2397,airport_4204
airport_2397,airport_2433
airport_2397,airport_6026
airport_2397,airport_6016
airport_2397,airport_6021
airport_2397,airport_2404
airport_2426,airport_2397
airport_4204,airport_2397
airport_2433,airport_2397
airport_6026,airport_2397
airport_6016,airport_2397
airport_6021,airport_2397
airport_2404,airport_2397
airport_7376,airport_4214
airport_7373,airport_2531
airport_7373,airport_2621
airport_2531,airport_7373
airport_2531,airport_7367
airport_2531,airport_2613
airport_2535,airport_2564
airport_2548,airport_2562
airport_2548,airport_7367
airport_2538,airport_7380
airport_7380,airport_2538
airport_7380,airport_2564
airport_2560,airport_2613
airport_2564,airport_2535
airport_2564,airport_7380
airport_2564,airport_2613
airport_2564,airport_2635
airport_2564,airport_2633
airport_2564,airport_6039
airport_2562,airport_2548
airport_2562,airport_4214
airport_2562,airport_2613
airport_2562,airport_2633
airport_7367,airport_2531
airport_7367,airport_2548
airport_2528,airport_2613
airport_4214,airport_7376
airport_4214,airport_2562
airport_2613,airport_2531
airport_2613,airport_2560
airport_2613,airport_2564
airport_2613,airport_2562
airport_2613,airport_2528
airport_2613,airport_2619
airport_2613,airport_2633
airport_2619,airport_2613
airport_2621,airport_7373
airport_2621,airport_6039
airport_2635,airport_2564
airport_2635,airport_2633
airport_2633,airport_2564
airport_2633,airport_2562
airport_2633,airport_2613
airport_2633,airport_2635
airport_6039,airport_2564
airport_6039,airport_2621
airport_5726,airport_3830
airport_5726,airport_3678
airport_4042,airport_3830
airport_4042,airport_3678
airport_3591,airport_3678
airport_3830,airport_5726
airport_3830,airport_4042
airport_3678,airport_5726
airport_3678,airport_4042
airport_3678,airport_3591
airport_7144,airport_7145
airport_7144,airport_3808
airport_7145,airport_7144
airport_7145,airport_7147
airport_7145,airport_3808
airport_7147,airport_7145
airport_7147,airport_3808
airport_3808,airport_7144
airport_3808,airport_7145
airport_3808,airport_7147
airport_3808,airport_7146
airport_7146,airport_3808
airport_248,airport_1084
airport_248,airport_273
airport_248,airport_1063
airport_1218,airport_1050
airport_1050,airport_1218
airport_1050,airport_1084
airport_1050,airport_1059
airport_4162,airport_5665
airport_1084,airport_248
airport_1084,airport_1050
airport_1084,airport_897
airport_1084,airport_1059
airport_1084,airport_273
airport_1084,airport_5665
airport_897,airport_1084
airport_897,airport_273
airport_1059,airport_1050
airport_1059,airport_1084
airport_1059,airport_502
airport_1059,airport_1063
airport_502,airport_1059
airport_273,airport_248
airport_273,airport_1084
airport_273,airport_897
airport_273,airport_1063
airport_5665,airport_4162
airport_5665,airport_1084
airport_1063,airport_248
airport_1063,airport_1059
airport_1063,airport_273
airport_5506,airport_5504
airport_5506,airport_6727
airport_5512,airport_154
airport_62,airport_5496
airport_62,airport_6727
airport_62,airport_146
airport_5496,airport_62
airport_5496,airport_5520
airport_5496,airport_5529
airport_5496,airport_5515
airport_5496,airport_146
airport_5496,airport_149
airport_5504,airport_5506
airport_5504,airport_5535
airport_5481,airport_5508
airport_5481,airport_5499
airport_5481,airport_154
airport_80,airport_111
airport_80,airport_154
airport_80,airport_161
airport_80,airport_202
airport_5520,airport_6727
airport_5520,airport_5515
airport_5520,airport_154
airport_5508,airport_5481
airport_5508,airport_6728
airport_5508,airport_154
airport_6727,airport_5506
airport_6727,airport_62
airport_6727,airport_5520
airport_6727,airport_154
airport_111,airport_80
airport_111,airport_146
airport_5499,airport_5481
airport_5499,airport_7253
airport_5529,airport_5496
airport_5529,airport_5515
airport_6728,airport_5508
airport_6728,airport_154
airport_5515,airport_5496
airport_5515,airport_5520
airport_5515,airport_5529
airport_146,airport_62
airport_146,airport_5496
airport_146,airport_111
airport_146,airport_149
airport_149,airport_5496
airport_149,airport_146
airport_154,airport_5512
airport_154,airport_5496
airport_154,airport_5481
airport_154,airport_80
airport_154,airport_5520
airport_154,airport_5508
airport_154,airport_6727
airport_154,airport_6728
airport_7253,airport_5499
airport_7253,airport_5535
airport_161,airport_80
airport_161,airport_202
airport_5535,airport_5504
airport_5535,airport_7253
airport_202,airport_80
airport_202,airport_161
airport_4119,airport_2188
airport_4119,airport_2072
airport_4119,airport_5687
airport_5687,airport_4059
airport_4059,airport_5687
airport_3885,airport_3316
airport_3999,airport_3316
airport_4120,airport_3316
airport_3386,airport_3316
airport_3077,airport_3316
airport_3179,airport_3316
airport_3992,airport_2397
airport_3992,airport_2276
airport_3304,airport_3316
airport_2397,airport_3992
airport_2397,airport_3316
airport_3308,airport_3316
airport_3351,airport_3316
airport_3034,airport_3316
airport_3035,airport_3316
airport_3239,airport_3316
airport_3205,airport_3316
airport_3316,airport_3885
airport_3316,airport_3999
airport_3316,airport_4120
airport_3316,airport_3386
airport_3316,airport_3077
airport_3316,airport_3179
airport_3316,airport_3304
airport_3316,airport_2397
airport_3316,airport_3308
airport_3316,airport_3351
airport_3316,airport_3034
airport_3316,airport_3035
airport_3316,airport_3239
airport_3316,airport_3205
airport_3316,airport_4302
airport_3316,airport_2276
airport_4302,airport_3316
airport_2276,airport_3992
airport_2276,airport_3316
airport_1679,airport_1558
airport_338,airport_1678
airport_345,airport_382
airport_1558,airport_1679
airport_1558,airport_382
airport_1558,airport_346
airport_1558,airport_1678
airport_382,airport_345
airport_382,airport_1558
airport_382,airport_342
airport_382,airport_1520
airport_382,airport_351
airport_382,airport_1209
airport_3986,airport_1561
airport_1609,airport_1678
airport_342,airport_382
airport_346,airport_1558
airport_1561,airport_3986
airport_1520,airport_382
airport_1612,airport_1678
airport_351,airport_382
airport_1209,airport_382
airport_1678,airport_338
airport_1678,airport_1558
airport_1678,airport_1609
airport_1678,airport_1612
airport_3682,airport_6958
airport_3682,airport_3754
airport_3682,airport_4335
airport_3682,airport_5756
airport_3682,airport_5759
airport_3682,airport_5773
airport_1937,airport_3533
airport_1943,airport_3533
airport_1943,airport_3722
airport_3875,airport_3533
airport_3875,airport_3793
airport_3875,airport_3646
airport_3533,airport_1937
airport_3533,airport_1943
airport_3533,airport_3875
airport_3533,airport_1948
airport_3533,airport_1941
airport_3533,airport_1944
airport_3533,airport_3878
airport_3533,airport_1930
airport_3533,airport_1934
airport_3533,airport_3646
airport_1948,airport_3533
airport_1941,airport_3533
airport_1941,airport_1944
airport_1944,airport_3533
airport_6130,airport_5773
airport_3472,airport_3878
airport_3472,airport_3646
airport_3712,airport_1930
airport_3712,airport_3646
airport_6958,airport_3682
airport_3754,airport_3682
airport_3754,airport_3878
airport_3878,airport_3533
airport_3878,airport_3472
airport_3878,airport_3754
airport_3878,airport_1930
airport_3878,airport_3564
airport_3878,airport_3793
airport_3878,airport_3698
airport_4335,airport_3682
airport_1930,airport_3533
airport_1930,airport_3712
airport_1930,airport_3878
airport_1930,airport_3722
airport_5756,airport_3682
airport_3722,airport_1943
airport_3722,airport_1930
airport_3722,airport_3646
airport_5759,airport_3682
airport_3564,airport_3878
airport_3564,airport_3646
airport_3793,airport_3875
airport_3793,airport_3878
airport_1934,airport_3533
airport_3698,airport_3878
airport_3698,airport_3646
airport_3646,airport_3875
airport_3646,airport_3533
airport_3646,airport_3472
airport_3646,airport_3712
airport_3646,airport_3722
airport_3646,airport_3564
airport_3646,airport_3698
airport_5773,airport_3682
airport_5773,airport_6130
airport_580,airport_5673
airport_580,airport_1080
airport_1218,airport_1074
airport_1218,airport_5673
airport_1218,airport_1080
airport_1525,airport_1074
