code:ID,name:STRING,country:STRING,city:STRING,location:POINT,utc_offset:FLOAT
GKA,Goroka Airport,Papua New Guinea,Goroka,"{latitude:-6.08168983459, longitude:145.391998291}",10
MAG,Madang Airport,Papua New Guinea,Madang,"{latitude:-5.20707988739, longitude:145.789001465}",10
HGU,Mount Hagen Kagamuga Airport,Papua New Guinea,Mount Hagen,"{latitude:-5.82678985595703, longitude:144.296005249023}",10
LAE,Nadzab Airport,Papua New Guinea,Nadzab,"{latitude:-6.569803, longitude:146.725977}",10
POM,Port Moresby Jacksons International Airport,Papua New Guinea,Port Moresby,"{latitude:-9.44338035583496, longitude:147.220001220703}",10
WWK,Wewak International Airport,Papua New Guinea,Wewak,"{latitude:-3.58383011818, longitude:143.669006348}",10
UAK,Narsarsuaq Airport,Greenland,Narssarssuaq,"{latitude:61.1604995728, longitude:-45.4259986877}",-3
GOH,Godayhaab / Nuuk Airport,Greenland,Godayhaab,"{latitude:64.19090271, longitude:-51.6781005859}",-3
SFJ,Kangerlussuaq Airport,Greenland,Sondrestrom,"{latitude:67.0122218992, longitude:-50.7116031647}",-3
THU,Thule Air Base,Greenland,Thule,"{latitude:76.5311965942, longitude:-68.7032012939}",-4
AEY,Akureyri Airport,Iceland,Akureyri,"{latitude:65.6600036621094, longitude:-18.0727005004883}",0
EGS,Egilsstaðir Airport,Iceland,Egilsstadir,"{latitude:65.2833023071289, longitude:-14.4013996124268}",0
HFN,Hornafjörður Airport,Iceland,Hofn,"{latitude:64.295601, longitude:-15.2272}",0
HZK,Húsavík Airport,Iceland,Husavik,"{latitude:65.952301, longitude:-17.426001}",0
IFJ,Ísafjörður Airport,Iceland,Isafjordur,"{latitude:66.0580978393555, longitude:-23.1352996826172}",0
KEF,Keflavik International Airport,Iceland,Keflavik,"{latitude:63.985000610352, longitude:-22.605600357056}",0
PFJ,Patreksfjörður Airport,Iceland,Patreksfjordur,"{latitude:65.555801, longitude:-23.965}",0
RKV,Reykjavik Airport,Iceland,Reykjavik,"{latitude:64.1299972534, longitude:-21.9405994415}",0
SIJ,Siglufjörður Airport,Iceland,Siglufjordur,"{latitude:66.133301, longitude:-18.9167}",0
VEY,Vestmannaeyjar Airport,Iceland,Vestmannaeyjar,"{latitude:63.4243011474609, longitude:-20.2789001464844}",0
YAM,Sault Ste Marie Airport,Canada,Sault Sainte Marie,"{latitude:46.4850006103516, longitude:-84.5093994140625}",-5
YAZ,Tofino / Long Beach Airport,Canada,Tofino,"{latitude:49.079833, longitude:-125.775583}",-8
YBB,Kugaaruk Airport,Canada,Pelly Bay,"{latitude:68.534401, longitude:-89.808098}",-7
YBC,Baie Comeau Airport,Canada,Baie Comeau,"{latitude:49.1324996948242, longitude:-68.2043991088867}",-5
YBG,CFB Bagotville,Canada,Bagotville,"{latitude:48.3306007385254, longitude:-70.9963989257812}",-5
YBK,Baker Lake Airport,Canada,Baker Lake,"{latitude:64.2988967896, longitude:-96.077796936}",-6
YBL,Campbell River Airport,Canada,Campbell River,"{latitude:49.9508018493652, longitude:-125.271003723145}",-8
YBR,Brandon Municipal Airport,Canada,Brandon,"{latitude:49.91, longitude:-99.951897}",-6
YCB,Cambridge Bay Airport,Canada,Cambridge Bay,"{latitude:69.1081008911, longitude:-105.138000488}",-7
YCD,Nanaimo Airport,Canada,Nanaimo,"{latitude:49.0549702249, longitude:-123.869862556}",-8
YCG,Castlegar/West Kootenay Regional Airport,Canada,Castlegar,"{latitude:49.2963981628, longitude:-117.632003784}",-8
YCH,Miramichi Airport,Canada,Chatham,"{latitude:47.007801, longitude:-65.449203}",-4
YCL,Charlo Airport,Canada,Charlo,"{latitude:47.990799, longitude:-66.330299}",-4
YCO,Kugluktuk Airport,Canada,Coppermine,"{latitude:67.816704, longitude:-115.143997}",-7
YCT,Coronation Airport,Canada,Coronation,"{latitude:52.0750007629, longitude:-111.444999695}",-7
YCW,Chilliwack Airport,Canada,Chilliwack,"{latitude:49.1528015137, longitude:-121.939002991}",-8
YCY,Clyde River Airport,Canada,Clyde River,"{latitude:70.4860992432, longitude:-68.5167007446}",-5
YZS,Coral Harbour Airport,Canada,Coral Harbour,"{latitude:64.1932983398, longitude:-83.3593978882}",-5
YDA,Dawson City Airport,Canada,Dawson,"{latitude:64.043098449707, longitude:-139.128005981445}",-8
YDB,Burwash Airport,Canada,Burwash,"{latitude:61.3711013793945, longitude:-139.041000366211}",-8
YDL,Dease Lake Airport,Canada,Dease Lake,"{latitude:58.4221992493, longitude:-130.031997681}",-8
YDN,Dauphin Barker Airport,Canada,Dauphin,"{latitude:51.1007995605469, longitude:-100.052001953125}",-6
YDQ,Dawson Creek Airport,Canada,Dawson Creek,"{latitude:55.7422981262207, longitude:-120.182998657227}",-7
YEG,Edmonton International Airport,Canada,Edmonton,"{latitude:53.3097000122, longitude:-113.580001831}",-7
YEK,Arviat Airport,Canada,Eskimo Point,"{latitude:61.0942001343, longitude:-94.0708007812}",-6
YEN,Estevan Airport,Canada,Estevan,"{latitude:49.2103004456, longitude:-102.966003418}",-6
YET,Edson Airport,Canada,Edson,"{latitude:53.5788993835, longitude:-116.464996338}",-7
YEU,Eureka Airport,Canada,Eureka,"{latitude:79.9946975708, longitude:-85.814201355}",-6
