:START_ID,distance:INT,:END_ID
AER,1508,KZN
ASF,1041,KZN
ASF,449,MRV
CEK,771,KZN
CEK,1340,OVB
DME,716,KZN
DME,893,NBC
DME,916,TGK
DME,952,UUA
EGO,1173,KGD
EGO,1009,KZN
GYD,1687,NBC
KGD,1173,EGO
KZN,1508,AER
KZN,1041,ASF
KZN,771,CEK
KZN,716,DME
KZN,1009,EGO
KZN,1218,LED
KZN,724,SVX
LED,1218,KZN
LED,1374,NBC
LED,1465,UUA
MRV,449,ASF
NBC,893,DME
NBC,1687,GYD
NBC,1374,LED
NBC,555,SVX
NJC,1013,SVX
NJC,1559,UUA
NUX,1326,SVX
OVB,1340,CEK
OVB,1371,SVX
SVX,724,KZN
SVX,555,NBC
SVX,1013,NJC
SVX,1326,NUX
SVX,1371,OVB
TGK,916,DME
UUA,952,DME
UUA,1465,LED
UUA,1559,NJC
AYP,340,LIM
CUZ,586,LIM
CUZ,311,PEM
HUU,258,LIM
IQT,530,PCL
IQT,455,TPP
LIM,340,AYP
LIM,586,CUZ
LIM,258,HUU
LIM,492,PCL
LIM,619,TPP
PCL,530,IQT
PCL,492,LIM
PCL,288,TPP
PEM,311,CUZ
TPP,455,IQT
TPP,619,LIM
TPP,288,PCL
ABJ,658,BOY
ABJ,833,OUA
ACC,765,OUA
BKO,922,ABJ
BKO,1060,DKR
BKO,700,OUA
BOY,658,ABJ
BOY,335,OUA
COO,127,LFW
COO,793,OUA
DKR,1060,BKO
DKR,1749,OUA
LFW,753,OUA
NIM,420,OUA
OUA,833,ABJ
OUA,765,ACC
OUA,700,BKO
OUA,335,BOY
OUA,793,COO
OUA,1749,DKR
OUA,753,LFW
OUA,420,NIM
BOG,995,GYE
BOG,713,UIO
CLO,744,GYE
GYE,995,BOG
GYE,744,CLO
GYE,1092,SCY
GYE,282,UIO
OCC,157,UIO
SCY,1092,GYE
UIO,713,BOG
UIO,282,GYE
UIO,157,OCC
BDS,1066,ZRH
BOD,772,ZRH
BRS,924,ZRH
GVA,2774,LPA
LCA,2507,ZRH
LPA,3004,ZRH
RMF,3340,ZRH
TFS,2835,GVA
ZRH,1066,BDS
ZRH,772,BOD
ZRH,924,BRS
ZRH,2507,LCA
ZRH,3004,LPA
ZRH,3340,RMF
AJR,119,LYC
ARN,845,GEV
ARN,445,HAD
ARN,306,JKG
ARN,378,KRF
ARN,259,KSD
ARN,546,LYC
ARN,122,MHQ
ARN,422,OER
ARN,293,POR
ARN,223,VBY
ARN,551,VHM
ARN,356,VXO
GEV,845,ARN
GEV,476,KRF
HAD,445,ARN
HAD,141,JKG
HAD,119,VXO
HMV,159,VHM
JKG,306,ARN
JKG,141,HAD
KOK,261,POR
KRF,378,ARN
KRF,476,GEV
KSD,259,ARN
LYC,119,AJR
LYC,546,ARN
MHQ,122,ARN
MHQ,137,TKU
OER,422,ARN
OSL,414,VXO
POR,293,ARN
POR,261,KOK
TKU,137,MHQ
VBY,223,ARN
VHM,551,ARN
VHM,159,HMV
VXO,356,ARN
VXO,414,OSL
ADQ,92,KLN
KLN,28,KYK
BSO,669,MNL
BXU,786,MNL
CBO,888,MNL
CRM,450,MNL
DGT,627,MNL
DWC,6935,MNL
GES,1041,MNL
KLO,347,MNL
LGP,330,MNL
MNL,669,BSO
MNL,786,BXU
MNL,888,CBO
MNL,450,CRM
MNL,627,DGT
MNL,6935,DWC
MNL,1041,GES
MNL,347,KLO
MNL,330,LGP
MNL,305,MPH
MNL,769,OZC
MNL,585,PPS
MNL,374,RXS
MNL,718,SUG
MNL,357,TUG
MNL,852,ZAM
MPH,305,MNL
OZC,769,MNL
PPS,585,MNL
RXS,374,MNL
SUG,718,MNL
TUG,357,MNL
ZAM,852,MNL
BRL,300,ORD
BRL,235,STL
DEC,252,ORD
DEC,177,STL
JBR,326,STL
ORD,300,BRL
ORD,252,DEC
STL,235,BRL
STL,177,DEC
STL,326,JBR
KTN,26,MTM
MTM,26,KTN
ACC,2151,DKR
ACC,401,LOS
ACC,1131,ROB
BCN,3603,BJL
BJL,3603,BCN
BJL,180,DKR
BJL,647,FNA
CKY,341,OXB
DKR,2151,ACC
DKR,180,BJL
DKR,3213,DLA
DKR,827,FNA
DKR,2448,LOS
DKR,374,OXB
DLA,3213,DKR
DLA,765,LOS
FNA,647,BJL
FNA,827,DKR
FNA,4882,LGW
FNA,410,ROB
